Consumer complaint narrative,Product_clean
I have no recollection of this collection.DIVERSIFIED ADJUSTMENT. Never signed a contract with this company. I have written them directly and received no response. Someone either from a data breach or theft of my purse has use my information to obtain all kinds of weird things. I 'm tired of trying to call when they just tell me I owe the debt and do n't care to help,Debt collection
My main complaint for today. Portfolio Recovery Associates has not updated any information to the credit reporting agencies. PRA has not updated anything for the past two years. I was unable to have PRA update to the credit agencies. I had tried calling them with several phone calls. They had refused to send out updates to the three major reporting agencies. I was shocked that they would not update anything. I am requesting that they make updates and send them out to the credit reporting agencies.,Debt collection
"We have received several calls from a man named  XXXX   XXXX  looking for my husband. He refuses to provide any more details other than his name and  XXXX  number, saying this ous a personal matter. Due to how rude he has been coupled with the lack of information from him, I asked him to correspond via mail, and to stop calling. The calls stopped, but never received anything in the mail. Several weeks pass, and  XXXX   XXXX  called our house again this morning. I explained my husband was unavailable, and asked if I could help him. He asked me to just have my husband call him, and provided his name and  XXXX  number. When i asked what company he was with, he refused to tell me, only saying it 's a personal matter. I told him, "" no, you need to tell me what company you represent or I wo n't have my husband call back ''. He said, "" real immature. How about you grow up? '' I said, "" excuse me?! '' He said, "" you heard me! Grow up! '' I responded with, "" lose my number   XXXX   XXXX   '' and hung up. I then had to  XXXX  the  XXXX  number he gave me to find the company he worked for, which turned out to be  National Bond and Collection Associates. I  called the other number listed on the website and asked the receptionist to speak to a supervisor. Then I asked if  XXXX   XXXX  was an employee. She explained that he was the supervisor. I then asked to speak with his boss because I was upset at the insulting bullying tactics  XXXX   XXXX  was utilizing. The receptionist, who did not give her name, chided me while saying, "" look at how you 're talking! You are immature and need to grow up! '' I told her to lose our number, and proceeded to call their local police department. The answering dispatcher told me I needed to go through my local department. Needless to say, the police were a dead end. I then contacted the FTC, who directed me to this site to file my formal complaint. I 'm familiar with collecting procedures and what companies can and can not do.  XXXX   XXXX  and his associates resort to illegal bullying tactics and evasive answering ; intimidating actions that might scare people into paying a debt they might not even have.  XXXX   XXXX  's refusal to provide supporting documents and unwillingness to provide company identification makes me think they 're skirting the line of fraud. At the very least, they 're bullies that need to be stopped.",Debt collection
"I have a collection account recorded on my credit report that is not mine, and was opened by someone using my name. I have reported this and spoken on the phone with representatives, who can verify that I have NEVER had this account with  XXXX . They will not confirm whether or not this has been removed from my credit report. When I try to check on the status online, I get a message that I am not allowed to view my dispute status online, without any explanation. I have never done any business with  XXXX , nor have I lived at the address where the original debt occurred. I disputed in  XXXX  of  2017  and my dispute case disappeared. I disputed again in  XXXX   2017  and this company will not let me check the status of the dispute online, and they have not responded to any emails regarding this fraud on my credit report.     TransUnion investigated and removed this right away.",Credit reporting
I am a victim of identity theft. Several inquiries are showing on my credit report that were not authorized by me. These inquiries include : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  All of the companies listed above obtained my credit report due to fraud. I have contacted each company and all companies have agreed to request the removal of the inquiry from my credit report. As of XXXX/XXXX/XXXX these inquiries are still showing on XXXX or more of my credit reports. I have attached a PDF of the letters I have received from the creditors above showing they have requested the removal of the inquires. I have also attached a copy of my photo ID for verification purposes.,Credit reporting
"My credit report is showing a "" hard '' inquiry from XXXX XXXX on XX/XX/2018, that I did not authorize. I don't have any services with XXXX.",Credit reporting
Started doing business with MMI in XX/XX/XXXX as a debt management program. They told me that my creditors agreed to stop reporting late payments to credit bureaus and that was false. Creditors were still reporting as late. I called and requested a refund for the monthly service fee due to the inaccuracies of their promises and they refused.,Credit reporting
"A purchase was made online for product "" A '', but the item was no delivered, instead a product item "" B '' was sent instead, with a modified invoice without my permission or consultation. 

Vendor ignored email requests for a return shipping label, after claiming to accept returns and refunds. 

Dispute was made to citibank via secured chat, full details including product model numbers were given. But days later, citibank reversed the temporary credit after vendor claimed they delivered the product. There was no follow-up from citibank prior to this claim. I further certified that I did not received the product as ordered, but instead was met with a citibank letter detailing that I needed to obtain a written permission from vendor in order to obtain a credit refund. Despite me stating I have evidences in the 2 chat, 1 email and 2 phone calls made to citibank. They have not made any attempts to obtain them or verify them from me. 

A phone call was made to the dispute department ( XXXX answered ), here I was appalled to discover that there was no means to contact the case person in charge, that the call was no recorded, and no information from that call will even reach the dispute department., and that the department had registered my dispute wrongly as non-delivered product and had decided to listen to a one-sided story from the vendor instead of verifying or consulting me in person. 

A letter was sent via the only method to possibly ( because I do not think they read it honestly ) reach the department ( as notified by the phone rep - XXXX ). Here in this letter, I detailed all email correspondences, XXXX dispute process, chatlog, photos of product B which was delivered in stead of A, including packaging and a invoice showing what was delivered versus what I ordered. 

The case was later closed by citibank with this exact remark : "" Since there is no detailed description of the merchandise or services excepted to receive, we are unable to assist you in obtaining funds from the merchant '' Citibank has presented that their dispute department is incapable of performing due dilligences in dispute cases, unable to communicate even within their own departments, and extremely unwilling to allow customer to call them out on their fails.",Credit / Prepaid card
"My name is XXXX XXXX and I am extremely frustrated that I was not able to process a dispute with Transunion, which was received by them on XX/XX/2015 via certified mail return receipt requested. I simply received a heavily worded letter from them denying me an investigation, claiming that my verification provided was not sufficient. I am afraid that they are stalling me and deliberately ignoring my request for an investigation into an expunged civil claim. 
I had provived vey sufficient and actually excessive amount of verification and they claim that I am not who I am and therefore they will not process anything from until i forfeit more proof or documentation. 
First I would like to clarify that I have ALEADY provided them with1. Drivers License and State Identification2. My Social Security number and a copy of my SSCard3. A certified Letter costing me over {$7.00}! 
4. A signed letter from My address and residence. 

They are violating me and pushing me around by requested personal information and documentation that is overly suspspcious and not safe to send via mail. I have had cases of IDENTIFTY Theft and ban fraud committed against me and I am very weary of sending anything above and beyond expected. 
I think that my documentation was extremely sufficient and in actuality this company is avoiding me, hurting me, and accusing me of not being me. They are using such tactics a lot against consumers an that is not fair. Who else would I be? How dare they deny me after EVERYTHING I supplied on my behalf. They are being very sneaky and un productive and clearly they are choosing to ignore my issue. 

I sent this letter via certified mail and they received it on XX/XX/2015- Transunion has until XX/XX/2015 to delete this invalid Public Record Item from my credit Report or I will Purseu Litigation against them in the small claims court. I ahv XXXX consulted with an attorney at their mishandling of my dispute an their refusal to acknowledge perfectly sufficient and perfectly legible verification documents. 

I wonder what you have done with my information. Have you shredded it or kept it in archive? Because if you claim that i have not provided enough proof then I am certain you have mishandled my letter and my documents. If you can not produce these items in a court of law It will be very obvious to me who is lying here.",Credit reporting
"This is a rebuttal to a previous complaint. 

i did not request to have collectors removed like you said in the last message ... did you even read what I wrote? 

I already did it myself!! What I want to know is how is it that I can remove items from my credit report but when i file a dispute with you all, BEFORE i tried removing them myself and you all rejected my dispute!!!",Credit reporting
"TransUnion you are inviolation of FCRA 623 and FDCPA 806 { b } which statesthat a credyor must enter a notice of dispute if this is not entered the account can not report on the credit report BUT you still report it Knowing that its in dispute, .Also failure to report that the account is sold to who with no address or any information still listing as XXXX  , There is no last payment date No name of who account was sold Balance still showing no listing of in dispute REF : XXXX  CFPB there need not be another 60 day investigation you have all the document facts along with the CFPB showing that there is NO evidence that account is mine or ever made by myself. the two violations listed above in its self warrant the removal of the account immediately, the CFPB should enforce the violation from you to remove it",Credit reporting
"I paid a company, XXXX XXXX, $ XXXX by debit card for a service they never provided. Wells Fargo allowed the them to keep my funds stating that: ""you did not cancel the service as outlined in the terms and conditions signed by you.""It turns out this company is a scam and criminal enterprise, the owner is being criminally charged for doing to others, what he did to me. XXXX",Credit / Prepaid card
I charged a bed to my account and the bed was put up and defective the bed bottom is no longer intact and it would require building a new platform for the bed. This is the second defective item purchased from this company. We called the furniture customer service several times and have been on hold many times and finally was told the bed would be picked up that the arranges for a truck to pick up the bed because we paid to have the bed put together. The company never picked up the bed and I still have the defective bed that mattress can't be layed in because of the poor craftmenship of the bed. I also tried to dispute a charge made at a drug store for XXXX and that wasn't resolved either. This is costing me extra interest and money. I have to take the company to small claims to recoup my funds.,Credit / Prepaid card
I pulled a copy of my credit report and noticed that there was a collection reporting with XXXX XXXX. I did dispute the account with the credit reporting agencies because the account is not mine. I have never had XXXX service my entire life so I do n't know how they reported the false information. The three bureaus did remove the account. I thought it was said and done. Then I received another credit report and now Convergent Outsourcing is reporting the same exact account with a new open date. This is absolutely maddening. If they would use my social security number and birth date the would see it 's not mine. They are only going by my name which is common. I am very upset because I pay my bills on time and now because of their error it 's affecting my ability to make a financial move.,Debt collection
"On Sunday XXXX XXXX 2017 I walked into a TD Bank in XXXX N.J. to deposit a check that I was suspicious about its authenticity.The funds were sent to me by someone posing to buy something from me online and I was sent the movers money as well to pass on. I informed the teller that I was suspicious about the check and wanted to know when I can be sure the check was authentic before using the funds. The teller informed me that the check will take 2 days to clear and by Tuesday I should check to see if its still pending. Once the check is n't pending and the funds have been added to the account I can be sure the check was legit and cleared. I deposited part of the check and cashed the remainder and waited till Tuesday to use the funds.On Tuesday morning I checked and the check was no longer pending and the funds were safely in my account. I took the funds and sent them to the supposed mover. On Wednesday, I see that the amount for the check had been taken out of my account. Upon contacting the bank I was informed that the check had insufficient funds and the bank took out money from my account in the amount of the check.Basically I had been scammed.
I was shocked as I had suspected this may have been the case and deliberately asked the bank how to proceed.I followed the exact instructions given to me by the bank. The bank refuses to take any responsibility and insists that its my issue. How can I protect my own money when the bank helps the scammers and could care less about their own costumers? How was I to know not to trust the bank teller? How come there 's no laws protecting consumers from the banks mistakes?
I went back to the bank and videoed myself asking the bank teller the question again.I asked the question to 3 different tellers, receiving the identical answer. They assured me I have nothing to worry about once the check clears and funds have been permanently added to the account. I tried to enclose the video below, however the size was too big to upload. I 'm going to attempt to post it online wherever possible, in an attempt for the truth to get out, if there 's still someone left with some sort of honest conscious, someone who realizes there 's more to life than getting away with someone else 's money.
Its frightening to see how little the bank cares about you, the very institution who you trust your money with and is supposed to be helping you.Its 2017, and our country has laws protecting animals, plants, and ancient buildings, but cant get they 're act together to help people being bullied and taken advantage of by financial institutions. And lastly, its sad to see how when the bank helps lose your money, no one gives a XXXX, but if the bank loses a dime, they 'll turn the world over. Its time for either a class action lawsuit or a politician that actually cares to make noise and put an end to this.",Bank / Checking / Savings
"I have sent a certified letter to the company in question to verify and gather other information per the Fair Debt Collection Practices Act, 1 : USC 1692g Sec 809 ( b ) and they have stated to me that they are not required to provide any information that is required.",Debt collection
I signed up for a CitiGold Checking account which promised a reward for joining of XXXX XXXX XXXX Aadvantage Miles. I was told on XX/XX/2016 what requirements I needed to meet by XXXX XXXX. On XX/XX/2016 I was told I met those requirements and that the miles would be deposited on XX/XX/2016. I have yet to receive the miles I was promised for opening the account.,Bank / Checking / Savings
"AD Astra Recovery service is on my credit report. I did a request for verification of a XXXX loan that was taken out without my consent. I have attached a loan that was attempted on my Daugther 's SSN also. During the Summer I did attempt to start business funding. My information was given to third parties. 

I did have phone contact with AD Astra Recovery. I did state I had a POA. The phone call was aggressive and not consumer friendly. If I say one thing a phone call should end. The probing and questions. I do have a POA in place due to my information was given out. I have had fraud on my bank accounts and have been through harassing or "" scam '' calls since this started since XX/XX/XXXX. 

I did receive an email from XXXX for an email for a XXXX loan approval rating. I never received a phone call to verify any information. I used my email address. I do n't see the -signature. Also, I went back to research XXXX. I I do have an illegal credit check on XXXX Report from XXXX. I never authorised this credit check with XXXX. 

I have read many complaints about Astria Recovery and XXXX. I ca n't find they are invested with each other. Astra Recovery Systems and XXXX do not help the debt consumer but keep them in debt by getting more loans or using the credit check to initiate on credit reports to force payments. I have read numerous accounts of they will take negative reports if paid today. 

A collection was placed on my account last week. A man name XXXX ( the wrong name is given in the previous complaint ) XXXX SEM scheduling called my home. He did give out Recovery Service was going to my home to serve me. Who will be my lawyer in XXXX TX. 

I drew up a legal notice to AdAstria. I told them in the letter that I will advise my attorney. XXXX is my attorney. In that letter, I never released his address, phone number, TX law license number. I never stated to cease to talk to me. Talk to my lawyer. AdAstria had no permission to contact or send any packages to my lawyer. 

My attorney called me XX/XX/XXXX and told me that AdAstria did get in contact with him to verify him as my lawyer. AdAstria had to find a XXXX ( my attorney ) to probe without my consent. That is violating my privacy and my attorney 's client relationship.",Debt collection
I have several inquiries been reported on my credit report that I did not authorize from my understanding you have to be given a written authorization for your credit to be pulled of which I did not give any company to pull my credit report of which at the time I had a credit freeze on my credit .Under the fair credit reporting act usc1681g I have the right to demand that you disclose to me all of the documents that you have recorded ans reatained in your file at the time of the request concerning the inquiries that are reporting in my credit report please do n't respond to my request by saying that these inquiries have been verified .Send me copies of the documents that you have in your file that were used to verify them if you do not have any documentation in your file to verify the accuracy of these disputed inquiries then please delete them immediately.Section 6115 a of the fcra you are required to promptly DELETE information which can not be verified the law is clear to civil liability and the remedies available to me for negligent compliance Section 617 if you fail to comply with this federal law I am a litigious consumer and full y intend on pursuing ligation in this matter to enforce my rights under the FCRA,Credit reporting
"We retail and service outdoor power equipment. We sell XXXX XXXX from a company in XXXX, TX. ( XXXX XXXX XXXX ), XXXX XXXX XXXX, XXXX, TX XXXX, ph # XXXX. Since the fall of 2013 they have been surcharging us the fee the American Express card charges and calling it a convenience fee for purchasing merchandise from them. Specifically Redmax product shown clearly on the billing invoice. 
In Texas it is illegal to charge this and we have tried numerous times to ask them to stop doing this. They said they could charge and this and went a step further. We wanted to purchase this product from another distributor that does not charge this fee. They were threatened they would sue because of territory maps. We have contacted American Express and they are disputing this. Also spoke with the State Attorney of Texas consumer complaint division, and we were also told to file a complaint with your office.",Credit / Prepaid card
"PHH created fraudulent loan history to force foreclosure/eviction on us, we 've proven payment for the loan of {$15000.00} PHH wanted us to sign, we paid XXXX Bank in cashiers checks, we did not owe PHH. We are missing {$35000.00} in payments, all cashed by PHH. I have proof of all of this..we were also part of the {$6.00} XXXX settlement only for PHH to foreclose/evict anyway, PHH did not follow the NJ XXXX stipulation to apply all our payments, remove fees and bring us current. PHH "" somehow '' managed to evict us ... someone is on the take, payoffs, something is WRONG here, how could we pay and still get evicted???? PHH took our credit, our money, our home, our chance for retirement and our lives ... I want it back!!!!! I have many documents to prove theses statements including an offer from PHH for {$50000.00} over the redemption cost ( we were denied redemption ), and we had to sign an agreement to not sue, be part of a lawsuit or hold PHH accountable in any wrong doing. PHH evicted us while I was completing XXXX treatments ... .can you say scum of the earth? PHH needs to be held accountable for what they have done and are continuing to do to homeowners. We had trouble from the day we signed our mortgage, we were never in a modification, did n't need one..we needed PHH to apply payments they cashed. We had no problem paying our payments.",Mortgage
"I did not make these charges. I 've never heard of these companies. 


XXXX/XXXX/XXXX XXXX XXXX XXXX XXXX XXXX XXXX {$150.00} XXXX/XXXX/XXXX XXXX XXXX XXXX XXXX {$1200.00}",Credit / Prepaid card
"Upon checking my credit report, I discovered that there was a {$450.00} charge from Kings Credit Service ( California ) pertaining to a medical bill that was from XXXX of 2011. This was the first time that I had ever received knowledge of the bill, and was confused about it because I was on XXXX in XX/XX/2011 '. I called the Agency ( KCS ), the woman that helped me said that back in XXXX of 2011 there were several failed attempts to contact me. She explained that all bills sent to my address were being returned and all calls made to the residence went unanswered. I asked for a verification of the address due to a confusion of why the bills would have been returned. She admitted that originally they had the wrong address, and that upon finally getting the right address, the bills were still being returned. I asked the woman how long it had been until they had the right address, she would not answer. She continued to tell me that at the number that I called her on was the same number that they attempted to reach me on, I believe she said three times, and that I must not have an answering system. I assured her that there has always been an answering system on our telephone, and that it does not ring so many times as to assume that there was not XXXX. She said that she did n't know, just that I signed an agreement that I would pay regardless of whether there were problems with insurance or not. She then asked if I could pay some of the balance, seemingly disregarding everything that I had told her. I told her that I would not make a payment at all, as I felt that it is not my fault that they failed to contact me when I was more than available. Given that I had medical insurance at the time, I would have gladly taken care of any bills that I knew were outstanding.",Debt collection
"My credit report has been mixed up with my XXXX and no matter how many times I call to get it fixed or send in a dispute, they havent been able to fix it. Both XXXX and transunion havent been able to do anything. Transunion theres still has inquiries that aren't mine, and a reported closed account, not mine either. XXXX has a account thats not mine on their report and another closed account.",Credit reporting
"I opened a student checking account at Cathay Bank. They switched my account to a Personal Checking account with a daily minimum balance of {$1000.00} WITHOUT informing me in writing. The only indication that my bank account type has changed is the {$10.00} maintenance fee on my XXXX monthly statement. While their current website says the student checking account is only valid for XXXX years, it does not say, and I was never informed, that my student checking account would be AUTOMATICALLY AND WITHOUT NOTICE changed into a Personal Checking account with a XXXX monthly maintenance fee. Had they informed me, IN WRITING, I would have closed my account and created a new student checking account, as I am still a student. They later told my power of attorney XXXX PoA XXXX that in order to renew a student account, I had to fly back personally, XXXX, to do so, even though my student status is unchanged. 

When my PoA went to the bank, on XXXX, a teller told her only that the {$10.00} maintenance fee was because my new account type had a minimum balance that we did not meet. To rectify this, my representative wrote a check for {$500.00} to Cathay Bank to satisfy it, since she was only told verbally that there was one. No bank personnel advised my PoA that this was a DAILY minimum balance rather than a monthly minimum, and they failed to give us the relevant Bank Account Disclosures for the new Personal Checking account. 

When my PoA returned to close the account on XXXX with an account representative, she was told that we were charged another {$10.00} in XXXX because we were under the {$1000.00} for a few days, which again, nobody informed us was a DAILY minimum. Had they given me the account disclosure materials, in writing, we would have known that this was a DAILY and not a MONTHLY minimum balance before they charged another {$10.00} in maintenance fees. Consequently, because they deducted the second {$10.00} in fees for XXXX, they informed us that we would see another {$10.00} deducted in XXXX because the new {$10.00} they deducted for XXXX officially put my account below the {$1000.00} daily minimum balance again. 

Had they advised us IN WRITING before changing my account type and then given us the Bank Account Disclosures, I would not have been deducted {$30.00} in maintenance fees due to their negligence. One of the agents at the bank, after some time arguing with my PoA, agreed to consider making an internal note waiving one of the {$10.00} fees but "" but we will be charged in XXXX as well. '' The staff at Cathay bank refused to let my PoA close our account, claiming that we had a safety deposit box with them, which is neither here nor there, given that we could have removed the safety box.",Bank / Checking / Savings
"I disputed XXXX accounts with transunion credit reporting agency informing them that these accounts were reporting inaccurately and to please remove off my credit report. When I received the results the accounts came back verified. I then called the original creditors and they were not able to provide me with information regarding the accounts I disputed. I then called transunion and request the method of verification to be provided to me. They told me they do not have any documentation to provide to me and that I need to contact the original creditor. I then informed them that I did in fact contact the oringinal creditor. She then stated that that is where they got their information from and I was like please provide me with this information and she stated she can not give me this information. I informed her per the fcra that o have the right to request method of verification and she said yes you are correct and to contact the oringinal creditor. I then informed her once again that I did talk to the them and I can provide you with the name of the person I spoke with, the time, the telephone number as well as the department and they all told me that they do not have any information regarding those accounts. I then asked to be put on the phone with a supervisor and she told me to hold and then she hung up the phone on me. The accounts that I am requesting to be removed are : XXXX/express acct # XXXX, XXXX XXXX acct # XXXX, and XXXX XXXX acct # XXXX",Credit reporting
"Uptain Group told me through the CFPB that they requested the erroneous collection be removed from my credit file on XX/XX/XXXX. XXXX said the Uptain Group did submit a deletion request, in fact Uptain Group verified the erroneous collection information on XX/XX/XXXX according to XXXX.",Debt collection
Yes I bought a 2018 XXXX XXXX XXXX weeks ago and decided to pay it off. I sent them a certified bank check for XXXX XXXX plus still have not applied my payment or reported it to credit bureaus or sent me my title. Didnt even apply my payment to my loan.,Other
"Today,XX/XX/XXXX, I have dismissed the recent litigation against SPS. So please answer my questions. 

I am again requesting a criminal investigation with you, among other investigative institutions. This request for investigation is based on tax evasion, money laundering, predatory lending, deceptive trade practices and fraud. 

I requested the name of the XXXX XXXX that my note was in, and have not received it yet. XXXX XXXX XXXX XXXX XXXX XXXX was the original lender on my note, not XXXX XXXX Mortgage XXXX as illegally placed at the lender on my note. With this Deed and note publicly recorded, XXXX XXXX XXXX may have committed Fraud, Forgery, Perjury, money laundering, among other crimes. 

My note has been through Assignments several times ( Attached ), each of which appear to be Fraudulent with signatures of Bank Employees, not XXXX XXXX XXXX XXXX XXXX XXXX employees, which went out of existence on XX/XX/XXXX and could not sign or transfer any documents or Assignments ( As attached ). Since XXXX XXXX XXXX XXXX XXXX XXXX had no authority to remove or assign my above note after XX/XX/XXXX, why were there Assignments in XXXX and XXXX? 

Each signatory of each document should be investigated to determine if they were in fact XXXX XXXX XXXX XXXX XXXX XXXX employees, or Bank Employees creating Legal Documents to Defraud the Homeowner. 

I have sent a XXXX asking basic accounting questions about records which SPS does n't seem to have.",Mortgage
